DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IE,2019,72400,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IE,2020,74860,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IE,2021,84940,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2011,34280,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2012,35800,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2013,37470,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2014,41150,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2015,47750,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2016,56070,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2017,63830,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2018,63060,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2019,61490,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2020,51850,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IS,2021,58130,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2011,27470,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2012,26990,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2013,26740,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2014,26980,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2015,27480,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2016,28210,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2017,28940,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2018,29580,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2019,30080,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2020,27940,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,IT,2021,30140,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2013,128380,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2014,133180,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2015,148440,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2016,147270,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2017,148690,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2018,146100,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2019,146830,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LI,2020,142470,p
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2011,10340,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2012,11180,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2013,11850,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2014,12480,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2015,12860,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2016,13560,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2017,14950,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2018,16250,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2019,17500,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2020,17810,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LT,2021,20000,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2011,85330,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2012,87540,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2013,90030,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2014,92760,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2015,95090,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2016,96230,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2017,97440,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2018,98750,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2019,100360,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2020,102650,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LU,2021,112780,p
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2011,9550,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2012,10870,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2013,11320,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2014,11850,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2015,12430,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2016,12950,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2017,13900,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2018,15130,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2019,16040,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2020,15940,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,LV,2021,17890,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2011,5270,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2012,5130,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2013,5410,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2014,5560,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2015,5870,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2016,6350,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2017,6910,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2018,7490,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2019,7960,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2020,6740,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,ME,2021,8000,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2011,3660,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2012,3680,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2013,3950,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2014,4140,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2015,4380,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2016,4660,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2017,4840,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2018,5170,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MK,2020,5240,e
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2011,16630,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2012,17530,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2013,18650,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2014,20120,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2015,22450,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2016,23130,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2017,25480,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2018,26690,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2019,28090,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2020,25520,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,MT,2021,28890,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2011,38960,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2012,38970,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2013,39300,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2014,39820,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2015,40730,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2016,41590,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2017,43090,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2018,44920,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2019,46880,
ESTAT:TEC00001(1.0),27/01/23 11:00:00,A,B1GQ,CP_EUR_HAB,NL,2020,45670,p
